model,designer,builder,rig_type,loa,lwl,beam,draft,displacement,displacement,notes,i,mizzen_i,j,mizzen_j,p,mizzen_p,e,mizzen_e,mast_height,mizzen_mast_height,bury,bury_mizzen,mh_frac,DK_or_KL,DK_or_KL_mizzen,No_of_spreaders,no_of_spreaders_mizzen,spreader_angle,spreader_angle_mizzen,mast_section,mast_section_mizzen,boom_section,boom_section_mizzen,spin_pole_diameter,telescopic_pole_diameter,rodkicker,headsail furler,JOCKEY_P,forestay_wire_size,mizzen_forestay_wire_size,mizzen_backstay_wire_size,capshrouds_wire_size,backstay_wire_size,mizzen_capshrouds_wire_size,intermediate_shrouds_wire_size,mizzen_intermediate_wire_size,forward_lower_shrouds_wire_size,mizzen_forward_lower_shrouds_wire_size,aft_lower_shrouds_wire_size,mizzen_forward_lower_shrouds_wire_size,inner_forestay_wire_size,runner_wire_size,mizzen_runner_wire_size,baby_stay_wire_size,triatic_stay_wire_size,jumper_wire_size,mizzen_jumper_wire_size,boom_above_deck,yacht_class
BOBCAT 8METRE,,,SL,,,,,,,,,,,,,,,,10515,,,,,,,,,,,5543,,4027,,,,,,,4,,,4,,,,,4,,4,,,,,,,,,,BOBCAT
BOLERO 1/4 TON,,,SL,7921,,,,,,,7781,,2590,,8380,,3280,,9338,,,,FR,DK,,1,,25AFT,,D109T,,86,,60-,,,,,5,,,5,3,,,,,,5,,,4,,,,,,,BOLERO
BOLERO TALL RIG,,,SL,7921,,,,,,Spreader length; 750,12200,,2590,,14340,,3264,,9948,,,,,DK,,1,,25AFT,,,,86,,60,,1,,,5,,,5,4,,,,,,5,,3,3,,,,,,814,BOLERO
BOUNTY 4,,,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,7250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOUNTY
BOWMAN 57,,,CT,17075,14480,4420,2530,18667,,Early versions had single spreader rig,,,6550,,,,5790,,OAL 22250,,?,,,,,,,,,,,206,,111,,2,14,,12,,,14,14,,12,,14,,14,,12,8,,,,,,,BOWMAN
BOWMAN 26,,,SL,7925,6097,2438,1220,2600,,Spreader length; 950,9245,,3124,,8433,,3275,,9296,,,,MH,DK,,1,,-,,,,111,,,60,1,6 x 13.0,,6,,,6,2x6,,,,,,6,,6,,,,,,,,BOWMAN
BOWMAN 36,,,KT,10980,,3455,2030cb1145,7600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOWMAN
BOWMAN 36 MKI,,,SL,10980,,3455,1677,8300,,,12801,,4345,,12600? 102,,4724,,14000,,,,MH,DK,,1,,,,7752,,4530,,,,,,,7,,,7,7,,,,,,6,,6,,,,,,,,BOWMAN
BOWMAN 40,,,CT,12170,9750,3840,1500,8620,3225,Sloop spec -D1 237 0257 ? Top spreader length; 900. Bottom spreader length; 1250.,16000,,4826,,14325,,4600,,15621,,2271,,MH,KL,,,,,,E224,,150,,96,,2,10C x 17.9,,10,,,10,10,,8,,,,10,,8,8,,,,,,,BOWMAN
BOWMAN 40 DSC,,,CT,12170,9750,3840,1500,8620,3225,Top spreader length; 900. Bottom spreader length; 1250.,15672,,4826,,13868,,4496,,15293,,-,,MH,DK,,2,,-,,224,,171,,"96, W84",JUMBO ?,076-046-10,10C x,072-072-64,10,,,10TANGS,10,,8 TANGS,,10 TANGS,,10 TANGS,,8 BACKING,,,,,,,,BOWMAN
BOWMAN 40 DSS MK2,,,SL,12170,9750,3840,1500,8620,3225,TSL; 900. BSL; 1250,15871,,4826,,13872,,4801,,15448,,,,MH,DK,,2,,T 5 AFT,,E237,,171,,,,,,,10,,,10,10,,,,,,10,,,,,,,,,,BOWMAN
BOWMAN 40 KSC,,,CT,12170,9750,3840,1500,8620,3225,TSL; 900. BSL;1250,12672,,4826,,13868,,4496,,15293,,,,MH,KL,,,,,,E224,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,BOWMAN
BOWMAN 40 KSS,,,SL,12170,9750,3840,1500,8620,3225,,,,,,,,,,,,,,MH,KL,,,,,,E224,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,BOWMAN
BOWMAN 44,,Bowman Yachts,CT,13564,10820,3962,1753,10890 (111,3835,TSL; 1100. BSL; 1350.,16790,,5470,,14940,,5030,,16380,,2280,,MH,KL,,2,,-,,E237,,200,,99,-,076-046-16,10,,10,,,10,10,,8,,10,,10,,8,12 Aft Int,,8,-,-,,,BOWMAN
BOWMAN 46,,,SL,14021,,,,,,,14630,,5181,,12940,,4496,,,,,,,,,2,,,,E239,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,BOWMAN
