model,designer,builder,rig_type,loa,lwl,beam,draft,displacement,displacement,notes,i,mizzen_i,j,mizzen_j,p,mizzen_p,e,mizzen_e,mast_height,mizzen_mast_height,bury,bury_mizzen,mh_frac,DK_or_KL,DK_or_KL_mizzen,No_of_spreaders,no_of_spreaders_mizzen,spreader_angle,spreader_angle_mizzen,mast_section,mast_section_mizzen,boom_section,boom_section_mizzen,spin_pole_diameter,telescopic_pole_diameter,rodkicker,headsail furler,JOCKEY_P,forestay_wire_size,mizzen_forestay_wire_size,mizzen_backstay_wire_size,capshrouds_wire_size,backstay_wire_size,mizzen_capshrouds_wire_size,intermediate_shrouds_wire_size,mizzen_intermediate_wire_size,forward_lower_shrouds_wire_size,mizzen_forward_lower_shrouds_wire_size,aft_lower_shrouds_wire_size,mizzen_forward_lower_shrouds_wire_size,inner_forestay_wire_size,runner_wire_size,mizzen_runner_wire_size,baby_stay_wire_size,triatic_stay_wire_size,jumper_wire_size,mizzen_jumper_wire_size,boom_above_deck,yacht_class
NAUTOR 39 KT,,,KT,11891,,,,,,,15544,,4572,,13182  890,,3886    28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAUTOR
NAUTOR 43,,,SL,13101,,,,,,,15544,,4816,,4023,,13624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAUTOR
NAUTOR 50,,,KT,15241,,,,,,,17983,,6071,,15621    9,,4419    28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAUTOR
NAVIGATOR,,,SL,,,,,,,,7110,,2200,,6450,,2140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAVIGATOR
NEPTUNE,,,SL,,,,,,,,12070,,3658,,10058,,4145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEPTUNE
NEPTUNE 26,,,SL,7921,,,,,,,7925,,3188,,6882,,2438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEPTUNE
NEPTUNIAN,,,KT,,,,,,,,12115,,3596,,10058,,3962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEPTUNIAN
NEWBRIDGE NAVIGATOR,,,SL,5792,4445,2337,915(F)/610(T),866,353,,,,2200,,6400,,2081,,,,,,MH,DK,,1,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEWBRIDGE
NEWTON 37,,,CT,11278,,3658,,7500,,,13259,,4572,,13030,,4572,,13309,,2057,,MH,KL,,D,,-,,E206,,162,,,,2,10,,10,,,10,10,,8,,10,,10,,8,,,,,7,,,NEWTON
NIC 38,,,KT   KEMP,11530,,3202,1575,7100,,,,,,,,,,,11328   70,,1956   -,,MH   MH,KL   DK,,1 1,,MIZ 26 FWD,,7250,,4040,,,,,,,,,,4 x 5,,,,,5,,5,,,,,,,,,,NIC
NIC 46,,,SL,14021,,,,,,,17434,,5761,,15575,,5182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIC
NIC 55,,,SL,16761,,,,,,,19050,,6309,,16758,,5657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIC
NIC 36,,,SL,11500,,,,,,,12800,,4300,,10690,,4800,,12130,,,,MH,KL,,2,,,,E189,,150,,,,2,8,,8,,,8,8,,,,8,,8,,,,,,,,,,NIC
NIC 1/2TON FRA,,,SL,,,,,,,,,,3505,,,,,,12622,,1752,,FR,KL,,1,,,,D129T,,111,,72,,1,6,,6,,,6,,,,,,,6,,4,5,,,,,,,NIC
NIC 1/2TON MHD,,,SL,,,,,,,,11735,,3580,,10135,,3048,,11425,,1764,,MH,KL,,1,,,,E155T,,111,,72,,1,6,55,6,,,6,6,,4,,4,,6,,,,,,,,,,NIC
NIC 26,,C&N,SL,8103,6096,2362,1524,4200,,Other data is available.  Sect rec' done late 1997.  E170 mast for Sthspar 195,9829,,3200,,8382,,3048,,,,,,,,,,,,,E177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIC
NIC 27,,,SL,8460,,2920,1430F/9650T,2900,,Intro 1979.  Peter Milne design,9600,,3500,,8500,,3000,,9560,,,,MH,DK,,1,,15 AFT,,E155,,111,,60,,1,6,,6,,,6,6,,,,6,,6,,,,,,,,,,NIC
NIC 30,,,SL,8845,,2975,1780,3100,,Checkstays are required.,,,3734,,9480,,3048,,10657,,,,MH,DK,,1,,,,E170,,120,,72,,1,6,,6,,,6,6,,,,,,6,,,3,,4,,,,,NIC
NIC 303 STAND HOLSON,,,SL,9141,,,,,,Spreader length; 1000,11740,,3246 (,,,,,,11171,,-,,MH,DK,,1,,,,E170,,111,,72,,,6,,6,,,6,6,,,,,,6,,4,4,,,,,,,NIC
NIC 303 TALL,,,SL,9141,,,,,,,11740,,3505,,10040,,2900,,11704,,,,MH,DK,,2,,,,E170,,111,,72,,1,7,60,7,,,6,7,,5,,,,7,,4,,,,,,,,NIC
NIC 31,,C&N,SL,9320,7360,3120,1520,6700,2355,Early rigs had 5mm lowers. Spreader length; 1100.,12192,,3886 (4259,,10577,,4114,,11810,,2032,,MH,KL,,1,,,,E177,,143,,,,058-036-12,7,,7,,,7,7,,,,6,,6,,,,,,,,,,NIC
NIC 32,,C&N,SL   MK1O,9754,7320,2819,1676,6250,3100,Section was 177/124,11674,,3870/3720,,10119/1004,,4206/4191/,,11379,,1880?,,MH,KL,,1,,-,,E 189,,143,,72,84/60,10,7,,7,,,7,7,,,,7,,7,,,,,,,,,,NIC
NIC 345,,,SL,10361,,,,,,,10973,,3950,,12878,,4267,,14300,,2146,,FR,KL,,1,,,,E177,,128,,72,,1,7,,7,,,8,5,,,,,,8,,,5,,,,,,,NIC
NIC 35 T.RIG,,,SL,10740,8150,3180,1680,8000,3550,Spreader length; 1150,13907,,,,13540,,2061?,,13540,,2061,,MH,KL,,1,,,,E206,,128,,96,,1,7,,7,,,7,7,,,,6,,6,,,,,,,,,,NIC
NIC 35 SLAB,,C&N,SL,10740,8150,3180,1680,8000,3550,(Denotes alternative drwaing details).  Replacement rig in R235 worked well. Spreader length; 1150,13167 (131,,4630 (4328,,11643 (116,,3870,,12929 (128,,2061(2231),,MH,KL,,1,,,,E206,,150,,96,,1,8,,8,,,7,8,,,,6,,6,,,,,,,,,,NIC
NIC 36 KS,,,SL,11500,7925,2895,1803,7500,3150,,12800,,4300,,10690,,4800,,12130,,1890?,,MH,KL,,1,,,,E189,,150,,84,,2,8,,8,,,8,8,,,,8,,8,,,,,,,,,,NIC
NIC 38 KT,,,KT,11530,,3200,,7214,,"Alternative -D1 Main. Calcs by DP on 29/3/93 gave 189/132, 8mm all round",11734,,4176,,10088   54,,4365  2500,,13250  854,,2062,,MH,KL  DK,,2 1,,30d FWD,,E189,,150,,,,,10,,10    -,,,8 6,2x8  2x5,,7   -,,8 5,,8 5,,,,,,,,,,NIC
NIC 38 CT/SL,,,CT/SL,11591,,,,,,,11000,,3850,,10090,,4190,,12727,,2044,,MH,KL,,1,,,,7752,,4040,,,,2,8,,8,,,8,8,,,,6,,6,,,,,,,,,,NIC
NIC 40 AC,,,KT,12190,,3450,,11080,,,14782,,4419,,13411,,4496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIC
NIC 42,,,KT,12801,,,,,,,,,4877,,,,,,14173   78,,,,MH   MH,DK   DK,,1 1,,MIZ 22A,,8760,,4545,,99,,,,,8/9,,,8/9   4 x,8/9,,6,,7    -,,7 6,,,,,,,,,,NIC
NIC 43,,,SL,13258,,3472,,,,,14681,,4806,,12496,,4355,,,,,,MH,,,,,,,E224T,,162,,96,,2,,,,,,,,,,,,,,,,,,,,,,,NIC
NIC  44,,,KT,13101,,,,,,,14478,,5114,,12344,6858,3962,2286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIC
NIC 46,,,KT,14021,,,,,,,166642,,5364,,14569   95,,4755    27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIC
NIC 476 KT,,,KT,14450,,4160,,14966,,,17068,,5182,,15240   95,,5029   274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIC
NIC 476 SL,,,SL,14450,,4160,,14966,,,17678,,5639,,15849,,5181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIC
NIC 48 FLN,,,KT,14570,,3960,,15800,,,15545,,4938,,13807   85,,4633   283,,,,2000,,MH,K,,2,,,,R260,,200,,,,,12,,12,,,12,2 x 10,,9,,12,,12,,-,-,,-,-,-,,,NIC
NIC 55,,,SL,16761,,,,,,,17830,,6309,,15240,,5791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIC
NIC 58,,,CT/SL,17550,,4750,,24052,,,21945,,7010,,19507,,6096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIC
NIC 83,,,CT/SL,25300,,6250,,50800,,,27432,,9754,,24384,,7924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIC
NIC 36 DS,,,SL,10971,,,,,,,,,,,,,,,12235,,,,MH,DK,,1,,-,,E206,,,,,,,8,,8,,,8,8,,,,8,,8,,,,,,,,,,NIC
NIC 43 SL,,,SL,13101,,,,,,,,,,,,,5105,,14330,,2100,,MH,KL,,1,,-,,E224,,,,,,,10,,10,,,10,10,,,,8,,8,,,,,,,,,,NIC
NIC  45,,,,13310,,,,10000,,,,,,,,,,,15555,,-,,MH,DK,,2,,-,,E237,,171,,,,,10,,10,,,10,10,,8,,10,,10,,,,,,,,,,NIC
NIC 48,,,KT,14631,,,,,,,14970,,4790,,12640,,4510,,13850,,,,MH,KL,,2,,-,,E206,,200,,,,,12,,12,,,12,12 or 2 x,,9,,12,,12,,,,,,,,,,NIC
NIMBLE TRIMARAN,,,CT,9150,,,,,,,,,4267,,,,,,10668,,,,MH,DK,,1,,,,"6746, 7250",,4545,,,,,,,,,,,,,,,,,,,,,,,,,,,NIMBLE
NIMBUS 42,,,CT,12801,,,,,,,16459,,5486,,14706,,4572,,16230,,1977,,MH,KL,,2,,,,R224,,162,,110,,2,10,84/58,10,,,10,10,,8,,10,,10,,8,8,,,,,,,NIMBUS
WESTERLY NOMAD,,WESTERLY,SL,6850,,2260,690,1977,,,,,,,,,,,,,,,MH,DK,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WESTERLY
NOONTIDE 32,,,CT,9751,,,,,,,,,,,,,4420,,,,,,MH,DK,,1,,,,E177,,128,,,,1,7,,7,,,7,2 x 7,,,,,,7,,6,,,,,,,,NOONTIDE
NORAY 43,,,SL,13101,,,,,,,,,,,,,,,,,,,,,,,,,,E239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORAY
NORDSHIP-28,,,SL,,,,,,,,11799,,3249,,10348,,3398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORDSHIP
NORDSHIP 32,,,SL,9650,7600,3300,1500,5200,,,,,3600,,,,,,,,,,MH,DK,,2,,,,,,,,,,,7,,7,,,7,7,,?,,7,,7,,,,,,,,,,NORDSHIP
NORLIN 34 SL,,,SL,10360,,,,,,,,,,,,,3580 VARIE,,13050,,1970,,MH,KL,,2,,-,,E177,,143,,,,058-036-12,8,,8,,,8,8,,6,,-,,8,,-,5,,6,,,,,NORLIN
NORLIN 34 CT,,,CT,10360,,,,,,,,,4396,,,,3580 varie,,10671,,1861,,MH,KL,,1,,,,7752,,4040,,84,,1,7,,7,,,7,7,,,,,,7,,6,5,,,,,,,NORLIN
NORLIN 34 3/4T,,,SL,10361,,,,,,,13200,,4290,,11100,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORLIN
NORLIN 37,,,CT,11281,,,,,,,15400,,5000,,13600,,3800,,15189,,2362,,MH,KL,,2,,,,8760,,4545,,99,,,8,72,8,,,8,8,,,,,,,,4,3,,,,,,,NORLIN
NORSEMAN 25,,,SL,7621,,,,,,,,,,,,,,,,,,,,,,,,,,4831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORSEMAN
NORSEMAN 33,,,KT,10061,,,,,,,,,,,7620   419,,,,9144   533,,,,MH   MH,DK   DK,,1    -,,,,6244,,162,,,,1,6,,6 4,,,6    -,6 4,,,,5 4,,5 4,,,,,,,,,,NORSEMAN
NORSTAR 34,,,SL,10361,,,,,,,12000,,4000,,10300,,3500,,11602,,,,MH,DK,,1,,,,E177,,111,,89,,1,7,,7,,,7,7,,,,6,,6,,,,,,,,,,NORSTAR
NORTH CHANNEL 29,,,SL,8841,,,,,,,,,3658,,9525,,2743,,10668,,,,MH,KL,,1,,,,6746,,3425,,72,,1,6,,6,,,6,6,,,,,,6,,5,,,,,,,,NORTH CHANNEL
NORTHEASTER,,,KT,,,,,,,,,,2890,,,,,,9195   599,,,,MH   MH,DK   DK,,1 1,,,,E155,,111,,,,1,6,,6 5,,,5    4 x 5,2 x 5   -,,,,5    -,,5    -,,,,,,,DIAMONDS 4,,,NORTHEASTER
NORTHNEY 34,,,SL,10361,,,,,,,,,3962,,,,,,11392,,,,MH,DK,,1,,,,7250,,4530,,,,,6,,6,,,6,6,,,,6,,6,,,,,,,,,,NORTHNEY
NORTHSEA 24,,,SL,,,,,,,,,,3690,,9754,,,,11303,,,,MH,DK,,1,,,,7250,,5036,,,,,7,,7,,,7,7,,,,6,,6,,,,,,,,,,NORTHSEA
NORTHSTAR 26,,,SL,8000,7090,2440,1280,2310,,,,,3060,,,,,,9297,,-,,MH,DK,,1,,,,E138,,86,,60,,1,5,,5,,,5,5,,,,5,,5,,,,,,,,,,NORTHSTAR
NORTHSTAR 500,,,SL,15241,,,,,,,10058,,3124,,8382,,2667,,9950,,1448,,MH,KL,,1,,,,5842,,3535,,60,,1,6,,6,,,6,6,,,,,,4,,,,,,,,,,NORTHSTAR
NORTHWIND 38,,,SL,11591,,,,,,,15570,,,,13650,,3720,,15570,,,,MH,DK,,2,,,,E206,,150,,,,2,8C,,8,,,8,8,,7,,8,,8,,,,,,,,,,NORTHWIND
NORTHWIND 41,,,CT,12536,,4100,,9700,,Incl SMAB prod data. Top spreader length; 950. Bottom spreader length; 1250,16050,,4800,,14000,,5000,,15800,,1980,,MH,KL,,2,,-,,"E206, R23?",,171,,96 (99 SMA,-,2,10,-,9,,,9,2 x 8,,7,,9,,9,,7,6,,,,,,1570,NORTHWIND
NORTHWIND 43,,,SL,13250,,4000,,9000,,,16200,,4700,,14280,,4600,,,,,,MH,DK,,2,,,,E224,,162,,,,,,,10,,,10,10,,8,,10,,10,,8,6,,,,,,,NORTHWIND
NORTHWIND 47 CT,,,CT,14250,,4230,,12000,,Incl SMAB prod data,17000,,5400 (SPL=,,15000,,5350 (SMAB,,17000,,2095,,MH,KL,,2,,,,"E237, R290",,171,,99,,2,10,-,10,,,10,10,,8,,10,,10,,8,7,,,,,,,NORTHWIND
NORTHWIND 47 SL,,,SL,14250,,4230,,12000,,,17120,,5400,,15000,,4500,,,,,,MH,DK,,2,,,,E237,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTHWIND
NORTHWIND 56,,,CT,16980,,5130,,18000,,,20500,,6550,,18900,,6000,,20500,,2050,,MH,KL,,2,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTHWIND
NORWES 32,,,SL,9751,,,,,,,,,,,,,,,11404,,,,MH,DK,,1,,,,7250,,4040,,,,,6,,6,,,6,6,,,,6,,6,,,,,,,,,,NORWES
OCEAN 60 SCHOONER,,,SCHOONER,18300,,4600,,19322,,,16780?,,5410?,,A15545  F1,,A & F 4572,,A16993   F,,A2870   F2,,MH   MH,KL   KL,,1 1,,AFT 4,,E274,,162,,110,,,12,,A-   F12,,,A12  F12,A11  F12,,,,A-   F12,,A12  F12,,,,,,10,,,,OCEAN
OCEAN BIRD MKII,,,SL,,,,,,,Trimaran,,,3772,,10973,,,,12192,,,,MH,DK,,1,,,,7250,,4040,,72,,,7,,7,,,9,7,,,,6,,6,,,,,,,,,,OCEAN
OCEAN RANGER (not We,,,SL,,,,,,,,,,,,,,,,14782,,,,MH,DK,,1,,,,10070,,5050,,,,,10,,10,,,10,10,,,,,,10,,,,,,,,,,OCEAN
OCEANIC 30 CAT.,,,SL,9200,,4700,,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCEANIC
OCEANIC 33 CAT.,,,KT,10100,,4900,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCEANIC
OCEANIC CAT SL.,,,SL,,,,,,,,,,,,,,,,10217,,,,MH,DK,,2,,LOW 8 AFT,,E155,,3535,,,,1,6,,6,,,4,2 x 5,,6,,4,,4,,6,,,,,,,,OCEANIC
OCEANIC CAT KT.,,,KT,,,,,,,,10972,,3658,,9144   647,,3780   213,,10209   79,,,,MH   MH,DK   DK,,2 1,,,,E155,,11,,,,1,6,,6    -,,,6    4 x 4,2 x 5   -,,,,4 4,,4 4,,6,DIAM 4  -,,,,-4,,,OCEANIC
OCEANIS 300,,,SL,9470,8780,3230,1300,3200,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCEANIS
OCEANIS 320 (321),,,SL,9250(94700,8440(8950),3260(3420),1400 (1300?),4000(4400),1200(1385),Shallow aft lowers & Babystay. Centre mainsheet,11530,,3500,,9910,,3360,,11150,,,,MH,DK,,2,,170/115 ?,,E170?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCEANIS
OCEANIS 35 165,,,SL,10100,,3430,,4800,,,12640,,3900,,10900,,3500,,12200,,,,MH,DK,,2,,,,E177 ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCEANIS
OCEANIS 350 (351),,,SL,10360 (104,9130 (9448,3430 (3670,1580,4800 (5300,1800 (1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCEANIS
OCEANIS 370,,,SL,10600,,3800,,5100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCEANIS
OCEANIS 390,,Beneteau,SL,11460,-10200,3900,-1700,6500,1650,Calcs 06-10-97 Alt dimension from Sailing Today in (***),14480,,4390,,12800,,4200,,14250,,,,MH,DK,,2,,,,E189,,171,,84,,,B8,,8,,,7,8,,6,,,,7,,,,,7 + 5 chec,,,,,OCEANIS
OCEANIS 400 (411),,,SL,11980,10800 (109,3950,1400?(1700),6500 (6985,((2500)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCEANIS
OCEANIS 430,,,SL,12600,,4220,,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCEANIS
OCEANIS 430 167,,,SL,12800,,4220,,9200,,,16060,,4820,,14200,,4450,,16000,,,,MH,KL,,2,,,,E274?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCEANIS
OCEANIS 500168,,,SL,15280,,,,,,,18150,,5700,,15730,,5500,,18000,,,,MH,KL,,2,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCEANIS
WESTERLY OCEANLORD F,,WESTERLY,SL,12340,9980,4110,1680,9470,3629,TSL; 950. BSL; 1300.,15697,,4877,,13567 MAX,,4724,,15375,,-,,MH,DK,,2,,8d AFT,,R232,,171,,96,096-096-60,,10,,10,,,10,10,,,,,,10,,10,,,,,,,,WESTERLY
WESTERLY OCEANLORD 4,,WESTERLY,SL & CT,12340,9980(10740,4110,1680,9470,3629,Early rigs on Sealord were -D1 237.  Change to Oceanlord = change to -D2 rig. TSL; 950. BSL; 1300.,15697,,4877,,13760 (138,,4724,,15375,,-,,MH,DK,,2,,-,,E224,,171,,96,096-096-60,,10,,10,,,10,10,,,,,,10,,10,,,,,,,,WESTERLY
OFFSHORE 33,,,SL,10061,,,,,,,,,3353,,,,,,11277,,,,MH,DK,,1,,,,7250,,4545,,72,,1,10,,10,,,10,10,,,,10,,10,,,,,,,,,,OFFSHORE
OFFSHORE 34,,,SL,10360,8310,3350,1830,7500,3000,,42'4',,4610,,11379,,3302,,12903,,-,,MH,DK,,1,,-,,E224,,143,,,,,10,,10,,,10,10,,,,,,10,,10,,,,,,,,OFFSHORE
OFFSHORE 38,,,CT,11500,,3660,,7900,,,14300 ?,,,,12930 ?,,4230,,14300,,,,MH,DK,,1,,,,E224,,150,,,,2,8,,8,,,8,8,,,,8,,8,,8,7,,,,,,,OFFSHORE
OFFSHORE 40 IOR,,,CT/KT,12191,,,,,,,,,,,,,,,13919   78,,,,MH   MH,DK,,1 1,,MIZ 10A,,8760,,4545,,,,,14,,14   -,,,12   4 x 9,14   -,,-    2 x 9,,12   -,,12   2 x 9,,,,,,9,,,,OFFSHORE
OFFSHORE 47,,,KT,14321,,,,,,,,,,,,,,,,,,,,,,,,,,10070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFFSHORE
OFFSHORE 8 METRE,,,SL,8005,,2440,1270,2250,,,,,2997,,8077,,2997,,9156,,,,MH,DK,,1,,,,5535,,3425,,60,,,,,5,,,4,5,,,,4,,4,,,,,,,,,,OFFSHORE
OFFSHORE MAN,,,KT,,,,,,,,,,,,,,,,9144    60,,,,MH   MH,DK   DK,,1 1,,MIZ36A,,584,,4040,,,,,,,,,,5 4,,,,,5    -,,5 4,,,,,,,4,,,OFFSHORE
OHLSON 28,,,SL,8531,,,,,,,10360,,3400,,8370,,2520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OHLSON
OHLSON 29,,,SL,8839,,2692,1600,3086,,,10750,,3505 OR 34,,9296 (9200,,2850,,10340,,1867,,MH,KL,,1,,-,,E155,,111,,72,,1,6,,6,,,6,6,,,,,,6,,6,,,,,,,,OHLSON
OHLSON 35,,,SL,10522,,3202,1854,6500,,"Intro 1969, rev 1973","133,351,295",,"4145,4267,",,"120,011,127",,"4140,3292,",,"124,001,264",,,,MH,KL,,1,,,,E189,,128,,96,,,,,8,,,8,8,,,,,,8,,,,,6,,,,,OHLSON
OHLSON 38,,,SL,11430,7870,3124,1702,6700,,,,,4500,,10900,,4830,,12400,,2000,,MH,KL,,1,,,,E189,,171,,84,,2 NOW076-0,8C,,8,,,8,8,,,,7,,7,,STORM STAY,,,,,,,,OHLSON
OHLSON 38  1973,,,SL,11430,7870,3124,1700,6700,,Incl SMAB prod data,,,4419,,12100,,3962,,12400,,,,MH,DK,,1,,,,"E189, R232",,171,,84,,2,8,,8,,,7,8,,,,7,,7,,,,,,,,,,OHLSON
OHLSON 8.8,,,SL,8845,,2845,1575,3170,,,10980,,3500,,9400,,2800,,,,,,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OHLSON
OLYMPIC  ILIAD 45,,,SL,13670,,,,,,,12850,,,,11150,,5350,,12850,,,,MH,DK,,1,,,,E237,,206,,,,2,12,,12,,,12,12 + 2 x 1,,,,12,,12,,,,,,,,,,OLYMPIC
OLYMPIC ADVENT.,,,47 KT,,,,,,,,,,5130,,,,,,16078  112,,,,MH   MH,DK   DK,,1 1,,MIZ17A,,10070,,5050,,111,,,10,,10   -,,,10   4 x 7,10   -,,,,10   -,,10 7,,,,,,,,,,OLYMPIC
OMEGA 34,,,SL,10361,,,,,,,11899,,4008,,12798,,4350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OMEGA
OMEGA 36,,,SL,11000,9150,3360,1700,5100,2100,,,,,,,,,,,,,,FR,KL,,1,,20 AFT,,,,,,,,,8,,8,,,8,5,,,,,,8,,,,,,,,,,OMEGA
OOD 34,,,SL,10361,,,,,,Top spreader length; 650. Bottom spreader length; 900,12500,,3962,,11000,,3600,,12129,,18667,,MH,KL,,2,,,,E170,,128,,84,,1,7,72 T/L=180,7,,,7,7,,6,,,,7,,5,,,,,,,710,OOD
OPTIMA 92,,Dehler,SL,9195,7317,2997,1550,,,Fract aft sweep rig.. The first Dehler type.  Incl SMAB prod data. Doubt over identification of SMAB specs - is it the Optima 98?,10500,,3648,,10299,,3298 (3960,,,,,,FR,DK,,1,,y,,E170,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,OPTIMA
OPTIMA 98,,,SL,,,,,,,,10500,,3648,,10299,,3298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPTIMA
OPUS 34,,,SL,10361,,,,,,Incl SMAB prod data,12370,,4161,,10430,,3000,,,,,,,,,,,,,"E170, E177",,143,,,,,,,,,,,,,,,,,,,,,,,,,,,OPUS
ORCA 115,,,SL,11410,,3800,,7000,,Incl SMAB prod data,14800,,4850,,13100,,4200,,14550,,,,MH,DK,,2,,,,"E206, E189",,171,,"99, 96",,2,10,,9,,,9,9,,7,,9,,9,,,,,,,,,,ORCA
OYSTER 26,,,SL,7921,,,,,,,9570,,2971,,10210,,3124,,,,,,FR,DK,,1,,AFT 25,,D129,,111,,60,,1,6,,6,,,6,4,,,,,,6,,,,,,,,,,OYSTER
OYSTER 33,,,SL,10061,,,,,,,,,,,,,,,,,,,,,,,,,,E170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OYSTER
OYSTER 34,,,SL,10361,,,,,,TSL; 700. BSL; 950,,,4038,,,,3200,,12873,,2112,,MH,KL,,2,,,,E170T,,128,,84,,1,8,,8,,,7,8,,6,,,,7,,5,3,,,,,,,OYSTER
OYSTER 35 MARINER,,,KT,10670,,3660,,,,,13260,,3962,,11120,,3890    23,,13050   95,,,,MH   MH,DK   DK,,1 1,,MIZ 30A,,E206,,128,,,,1,8,,8    -,,,8    6 x 4,2 x 7  2 x,,,,,,10 6,,6    -,,,,,,,,OYSTER
OYSTER 39 SL,,,SL,11900,,3.88,,8950,,,14.63,,4570,,12.88,,3.81,,14.6,,-,,MH,DK,,2,,,,R232,,150,,,,2,10,,10,,,10,2 x 9,,8,,,,10,,8,,,,,,,,OYSTER
OYSTER 39 KT,,,KT,11891,,,,,,,14630,,4572,,12878,,3810   246,,14630    9,,,,MH   MH,DK   DK,,1 1,,MIZ 30A,,E237,,128,,96,,1,10,,10   -,,,10 6,2 x 9   2,,,,,,10 6,,7    -,-6,,,,,,,OYSTER
OYSTER 406 C.ROOF CT,,,CT,12340,,3890,,9297,,,15392,,4724,,13106 (129,,4343,,15025,,2255,,MH,KL,,2,,,,"E224, R232",,150,,96,,2,10 x 17.9,,10,,,10,10,,8,,,,10,,8,8,,8,,,,,OYSTER
OYSTER 406 C.ROOF  S,,,SL,12340,,3890,,9297,,TSL; 800. BSL; 1050. FURLIN DATA IN DRAW.,15392,,4724,,13106,,4343,,15025,,2255,,MH,KL,,2,,,,E224,,150,,96,,2,10 x 17.9,,10,,,10,10,,8,,,,10,,8,,,,,,,,OYSTER
OYSTER 406 D.SALOON,,,SL  SALOON,12340,,3890,,9297,,,15392,,4724,,13106,,4343,,14925,,2355,,MH,KL,,2,,,,E224,,150,,96,,2,10 x 17.9,,10,,,10,10,,8,,,,10,,8,,,,,,,,OYSTER
OYSTER 41 FRAC,,,SL  PRODUC,12501,,,,,,,13536,,4038 (4115,,15164,,5324,,16800,,1905,,FR,KL,,2,,,,E177T,,162,,84,,2,10,10,4,,,7,10,,,,,,10,,,7,,5,CHECK STAY,,,,OYSTER
